id,created_at,retweet_count,favorite_count,deleted,time_downloaded
1139289589343039488,2019-06-13 21:52:59.000000,2.0,5.0,0,2019-07-12 12:24
1139291616953491457,2019-06-13 22:01:03.000000,3.0,0.0,0,2019-07-12 12:24
1139298531276144642,2019-06-13 22:28:31.000000,0.0,1.0,0,2019-07-12 12:24
1139298667087749122,2019-06-13 22:29:04.000000,5.0,18.0,0,2019-07-12 12:24
1139299757338312705,2019-06-13 22:33:23.000000,0.0,1.0,0,2019-07-12 12:24
1139299781271019521,2019-06-13 22:33:29.000000,0.0,0.0,0,2019-07-12 12:24
1139301339635150849,2019-06-13 22:39:41.000000,5.0,0.0,0,2019-07-12 12:24
1139308500398428161,2019-06-13 23:08:08.000000,0.0,1.0,0,2019-07-12 12:24
1139313842716995584,2019-06-13 23:29:22.000000,5.0,0.0,0,2019-07-12 12:24
1139315465912639488,2019-06-13 23:35:49.000000,2.0,24.0,0,2019-07-12 12:24
1139329745924055051,2019-06-14 00:32:33.000000,1.0,10.0,0,2019-07-12 12:24
1139331224974123008,2019-06-14 00:38:26.000000,,,1,2019-07-12 12:24
1139334066900230146,2019-06-14 00:49:44.000000,,,1,2019-07-12 12:24
1139335093280026625,2019-06-14 00:53:48.000000,,,1,2019-07-12 12:24
1139335533233090561,2019-06-14 00:55:33.000000,,,1,2019-07-12 12:24
1139339171208859653,2019-06-14 01:10:00.000000,,,1,2019-07-12 12:24
1139340797365633024,2019-06-14 01:16:28.000000,,,1,2019-07-12 12:24
1139341178233655302,2019-06-14 01:17:59.000000,,,1,2019-07-12 12:24
1139341349197615104,2019-06-14 01:18:40.000000,,,1,2019-07-12 12:24
1139342210942537730,2019-06-14 01:22:05.000000,,,1,2019-07-12 12:24
1139342861525245952,2019-06-14 01:24:40.000000,,,1,2019-07-12 12:24
1139343170213486592,2019-06-14 01:25:54.000000,,,1,2019-07-12 12:24
1139343211745435648,2019-06-14 01:26:04.000000,,,1,2019-07-12 12:24
1139343320772165633,2019-06-14 01:26:30.000000,,,1,2019-07-12 12:24
1139343825774796802,2019-06-14 01:28:30.000000,,,1,2019-07-12 12:24
1139346024387022850,2019-06-14 01:37:14.000000,,,1,2019-07-12 12:24
1139347002112794625,2019-06-14 01:41:08.000000,,,1,2019-07-12 12:24
1139347789777965056,2019-06-14 01:44:15.000000,,,1,2019-07-12 12:24
1139347811315720192,2019-06-14 01:44:20.000000,,,1,2019-07-12 12:24
1139347842185777152,2019-06-14 01:44:28.000000,,,1,2019-07-12 12:24
1139348312375660544,2019-06-14 01:46:20.000000,,,1,2019-07-12 12:24
1139348319296266240,2019-06-14 01:46:22.000000,,,1,2019-07-12 12:24
1139348596829118464,2019-06-14 01:47:28.000000,,,1,2019-07-12 12:24
1139348831336894464,2019-06-14 01:48:24.000000,,,1,2019-07-12 12:24
1139349151932719105,2019-06-14 01:49:40.000000,,,1,2019-07-12 12:24
1139349680150765568,2019-06-14 01:51:46.000000,,,1,2019-07-12 12:24
1139359731762499584,2019-06-14 02:31:42.000000,0.0,0.0,0,2019-07-12 12:24
1139360118129209345,2019-06-14 02:33:15.000000,1.0,1.0,0,2019-07-12 12:24
1139371517723103232,2019-06-14 03:18:32.000000,1.0,0.0,0,2019-07-12 12:24
1139380710072995840,2019-06-14 03:55:04.000000,,,1,2019-07-12 12:24
1140725481303658497,2019-06-17 20:58:43.000000,4.0,0.0,0,2019-07-12 12:24
1140729132336242691,2019-06-17 21:13:13.000000,0.0,4.0,0,2019-07-12 12:24
1140730803061743616,2019-06-17 21:19:51.000000,18.0,0.0,0,2019-07-12 12:24
1140735108498034694,2019-06-17 21:36:58.000000,1.0,3.0,0,2019-07-12 12:24
1140740023156977665,2019-06-17 21:56:30.000000,1.0,16.0,0,2019-07-12 12:24
1140749663320125440,2019-06-17 22:34:48.000000,0.0,15.0,0,2019-07-12 12:24
1140751551838818305,2019-06-17 22:42:18.000000,0.0,0.0,0,2019-07-12 12:24
1140753132894511105,2019-06-17 22:48:35.000000,2.0,0.0,0,2019-07-12 12:24
1140754049563877382,2019-06-17 22:52:14.000000,1.0,3.0,0,2019-07-12 12:24
1140755717110018055,2019-06-17 22:58:51.000000,4.0,0.0,0,2019-07-12 12:24
1140757257908568064,2019-06-17 23:04:59.000000,0.0,2.0,0,2019-07-12 12:24
1140757291169439746,2019-06-17 23:05:07.000000,2.0,0.0,0,2019-07-12 12:24
1140759285825245184,2019-06-17 23:13:02.000000,,,1,2019-07-12 12:24
1140760335164563457,2019-06-17 23:17:12.000000,0.0,0.0,0,2019-07-12 12:24
1140763522655301633,2019-06-17 23:29:52.000000,4.0,17.0,0,2019-07-12 12:24
1140768801237196800,2019-06-17 23:50:51.000000,4.0,0.0,0,2019-07-12 12:24
1140770483765428233,2019-06-17 23:57:32.000000,1.0,0.0,0,2019-07-12 12:24
1140776086323826688,2019-06-18 00:19:48.000000,0.0,0.0,0,2019-07-12 12:24
1140777789374783488,2019-06-18 00:26:34.000000,4.0,0.0,0,2019-07-12 12:24
1140778676285562880,2019-06-18 00:30:05.000000,1.0,12.0,0,2019-07-12 12:24
1140779329921720320,2019-06-18 00:32:41.000000,4.0,0.0,0,2019-07-12 12:24
1140780966295875586,2019-06-18 00:39:11.000000,,,1,2019-07-12 12:24
1140783802756816896,2019-06-18 00:50:27.000000,,,1,2019-07-12 12:24
1140784654326411264,2019-06-18 00:53:51.000000,,,1,2019-07-12 12:24
1140785048624537601,2019-06-18 00:55:25.000000,,,1,2019-07-12 12:24
1140785967600738304,2019-06-18 00:59:04.000000,0.0,1.0,0,2019-07-12 12:24
1140787499649896449,2019-06-18 01:05:09.000000,0.0,0.0,0,2019-07-12 12:24
1140789148929929217,2019-06-18 01:11:42.000000,,,1,2019-07-12 12:24
1140790375612915713,2019-06-18 01:16:35.000000,,,1,2019-07-12 12:24
1140790725489176578,2019-06-18 01:17:58.000000,,,1,2019-07-12 12:24
1140790899787669505,2019-06-18 01:18:40.000000,,,1,2019-07-12 12:24
1140791747741724672,2019-06-18 01:22:02.000000,,,1,2019-07-12 12:24
1140792417270022151,2019-06-18 01:24:41.000000,,,1,2019-07-12 12:24
1140792865125281793,2019-06-18 01:26:28.000000,,,1,2019-07-12 12:24
1140792953704783872,2019-06-18 01:26:49.000000,,,1,2019-07-12 12:24
1140793133510340609,2019-06-18 01:27:32.000000,,,1,2019-07-12 12:24
1140793358958379009,2019-06-18 01:28:26.000000,,,1,2019-07-12 12:24
1140794093255233536,2019-06-18 01:31:21.000000,0.0,1.0,0,2019-07-12 12:24
1140795768770572288,2019-06-18 01:38:00.000000,,,1,2019-07-12 12:24
1140796766725529600,2019-06-18 01:41:58.000000,,,1,2019-07-12 12:24
1140797383913234432,2019-06-18 01:44:25.000000,,,1,2019-07-12 12:24
1140797411058737152,2019-06-18 01:44:32.000000,,,1,2019-07-12 12:24
1140797450472632320,2019-06-18 01:44:41.000000,,,1,2019-07-12 12:24
1140797878031585281,2019-06-18 01:46:23.000000,,,1,2019-07-12 12:24
1140797878211940352,2019-06-18 01:46:23.000000,,,1,2019-07-12 12:24
1140798215656235008,2019-06-18 01:47:44.000000,,,1,2019-07-12 12:24
1140798384393072640,2019-06-18 01:48:24.000000,,,1,2019-07-12 12:24
1140798715130761216,2019-06-18 01:49:43.000000,,,1,2019-07-12 12:24
1140799235316768768,2019-06-18 01:51:47.000000,,,1,2019-07-12 12:24
1140803769942335488,2019-06-18 02:09:48.000000,24.0,135.0,0,2019-07-12 12:24
1140804752298729472,2019-06-18 02:13:42.000000,24.0,0.0,0,2019-07-12 12:24
1140806212847640582,2019-06-18 02:19:30.000000,24.0,0.0,0,2019-07-12 12:24
1140806277490270208,2019-06-18 02:19:46.000000,4.0,0.0,0,2019-07-12 12:24
1140806488883154944,2019-06-18 02:20:36.000000,0.0,0.0,0,2019-07-12 12:24
1140807500964519936,2019-06-18 02:24:38.000000,24.0,0.0,0,2019-07-12 12:24
1140807585207148544,2019-06-18 02:24:58.000000,24.0,0.0,0,2019-07-12 12:24
1140810996547825664,2019-06-18 02:38:31.000000,1.0,10.0,0,2019-07-12 12:24
1140811850336153602,2019-06-18 02:41:55.000000,24.0,0.0,0,2019-07-12 12:24
1140812631902707712,2019-06-18 02:45:01.000000,17.0,0.0,0,2019-07-12 12:24
1140812658775662592,2019-06-18 02:45:07.000000,24.0,0.0,0,2019-07-12 12:24
1140812725980975106,2019-06-18 02:45:23.000000,24.0,0.0,0,2019-07-12 12:24
1140812791302934528,2019-06-18 02:45:39.000000,17.0,0.0,0,2019-07-12 12:24
1140814454403346432,2019-06-18 02:52:15.000000,4.0,0.0,0,2019-07-12 12:24
1140815296267194368,2019-06-18 02:55:36.000000,17.0,0.0,0,2019-07-12 12:24
1140815317599494144,2019-06-18 02:55:41.000000,24.0,0.0,0,2019-07-12 12:24
1140816102454452225,2019-06-18 02:58:48.000000,24.0,0.0,0,2019-07-12 12:24
1140816457854590977,2019-06-18 03:00:13.000000,24.0,0.0,0,2019-07-12 12:24
1140817179862032384,2019-06-18 03:03:05.000000,0.0,1.0,0,2019-07-12 12:24
1140818629426057217,2019-06-18 03:08:51.000000,1.0,0.0,0,2019-07-12 12:24
1140819767521173504,2019-06-18 03:13:22.000000,,,1,2019-07-12 12:24
1140822693123690496,2019-06-18 03:25:00.000000,,,1,2019-07-12 12:24
1140823648753913857,2019-06-18 03:28:47.000000,,,1,2019-07-12 12:24
1140829112744984576,2019-06-18 03:50:30.000000,24.0,0.0,0,2019-07-12 12:24
1140829142344241152,2019-06-18 03:50:37.000000,24.0,0.0,0,2019-07-12 12:24
1140830265515884545,2019-06-18 03:55:05.000000,,,1,2019-07-12 12:24
1140830664260030469,2019-06-18 03:56:40.000000,24.0,0.0,0,2019-07-12 12:24
1140832450572161024,2019-06-18 04:03:46.000000,0.0,25.0,0,2019-07-12 12:24
1140835776449716224,2019-06-18 04:16:59.000000,24.0,0.0,0,2019-07-12 12:24
1140838227542192128,2019-06-18 04:26:43.000000,24.0,0.0,0,2019-07-12 12:24
1140877890852216832,2019-06-18 07:04:20.000000,,,1,2019-07-12 12:24
1140881556032184321,2019-06-18 07:18:54.000000,0.0,1.0,0,2019-07-12 12:24
1140930872843149315,2019-06-18 10:34:52.000000,2.0,7.0,0,2019-07-12 12:24
1140936593173336064,2019-06-18 10:57:36.000000,3.0,4.0,0,2019-07-12 12:24
1140936669639651328,2019-06-18 10:57:54.000000,3.0,0.0,0,2019-07-12 12:24
1140945529628704768,2019-06-18 11:33:06.000000,2.0,0.0,0,2019-07-12 12:24
1140949187435085829,2019-06-18 11:47:38.000000,0.0,0.0,0,2019-07-12 12:24
1140950910371270661,2019-06-18 11:54:29.000000,1.0,0.0,0,2019-07-12 12:24
1140951163266830337,2019-06-18 11:55:29.000000,0.0,1.0,0,2019-07-12 12:24
1140952172273786880,2019-06-18 11:59:30.000000,3.0,0.0,0,2019-07-12 12:24
1140952274434502657,2019-06-18 11:59:54.000000,0.0,5.0,0,2019-07-12 12:24
1140953289267273728,2019-06-18 12:03:56.000000,0.0,6.0,0,2019-07-12 12:24
1140960111176880129,2019-06-18 12:31:03.000000,2.0,0.0,0,2019-07-12 12:24
1140966130363723776,2019-06-18 12:54:58.000000,24.0,0.0,0,2019-07-12 12:24
1140974620503359488,2019-06-18 13:28:42.000000,15.0,0.0,0,2019-07-12 12:24
1140977179238588416,2019-06-18 13:38:52.000000,0.0,0.0,0,2019-07-12 12:24
1140978167156531200,2019-06-18 13:42:48.000000,4.0,0.0,0,2019-07-12 12:24
1140979651743031303,2019-06-18 13:48:42.000000,18.0,0.0,0,2019-07-12 12:24
1140980904669646859,2019-06-18 13:53:40.000000,0.0,0.0,0,2019-07-12 12:24
1140981003370008576,2019-06-18 13:54:04.000000,0.0,0.0,0,2019-07-12 12:24
1140981217011146752,2019-06-18 13:54:55.000000,1.0,2.0,0,2019-07-12 12:24
1140982000385441792,2019-06-18 13:58:01.000000,2.0,37.0,0,2019-07-12 12:24
1140982121932234752,2019-06-18 13:58:30.000000,0.0,4.0,0,2019-07-12 12:24
1140982326425542663,2019-06-18 13:59:19.000000,0.0,1.0,0,2019-07-12 12:24
1140983855551307776,2019-06-18 14:05:24.000000,2.0,0.0,0,2019-07-12 12:24
1140984088930783232,2019-06-18 14:06:19.000000,0.0,2.0,0,2019-07-12 12:24
1140984618381979649,2019-06-18 14:08:26.000000,0.0,19.0,0,2019-07-12 12:24
1140986113563254784,2019-06-18 14:14:22.000000,2.0,4.0,0,2019-07-12 12:24
1140986822304108549,2019-06-18 14:17:11.000000,0.0,7.0,0,2019-07-12 12:24
1140989655124512770,2019-06-18 14:28:27.000000,0.0,0.0,0,2019-07-12 12:24
1140994669381332992,2019-06-18 14:48:22.000000,2.0,0.0,0,2019-07-12 12:24
1140995563921563649,2019-06-18 14:51:55.000000,0.0,2.0,0,2019-07-12 12:24
1140999996021583872,2019-06-18 15:09:32.000000,4.0,0.0,0,2019-07-12 12:24
1141000126053388288,2019-06-18 15:10:03.000000,,,1,2019-07-12 12:24
1141001731452624897,2019-06-18 15:16:26.000000,1.0,7.0,0,2019-07-12 12:24
1141006418226622466,2019-06-18 15:35:03.000000,3.0,10.0,0,2019-07-12 12:24
1141006655997599744,2019-06-18 15:36:00.000000,2.0,2.0,0,2019-07-12 12:24
1141007621861847042,2019-06-18 15:39:50.000000,2.0,5.0,0,2019-07-12 12:24
1141009018196058113,2019-06-18 15:45:23.000000,0.0,1.0,0,2019-07-12 12:24
1141009057685430272,2019-06-18 15:45:32.000000,0.0,24.0,0,2019-07-12 12:24
1141010699935735809,2019-06-18 15:52:04.000000,1.0,2.0,0,2019-07-12 12:24
1141011809505357824,2019-06-18 15:56:29.000000,0.0,9.0,0,2019-07-12 12:24
1141012943045320704,2019-06-18 16:00:59.000000,0.0,1.0,0,2019-07-12 12:24
1141013923455537153,2019-06-18 16:04:53.000000,2.0,8.0,0,2019-07-12 12:24
1141015244619206657,2019-06-18 16:10:08.000000,0.0,9.0,0,2019-07-12 12:24
1141015943264559106,2019-06-18 16:12:54.000000,2.0,0.0,0,2019-07-12 12:24
1141016411533434881,2019-06-18 16:14:46.000000,1.0,0.0,0,2019-07-12 12:24
1141021759979712520,2019-06-18 16:36:01.000000,0.0,3.0,0,2019-07-12 12:24
1141025022775046145,2019-06-18 16:48:59.000000,0.0,4.0,0,2019-07-12 12:24
1141025415890382853,2019-06-18 16:50:33.000000,2.0,0.0,0,2019-07-12 12:24
1141029680360972288,2019-06-18 17:07:29.000000,24.0,0.0,0,2019-07-12 12:24
1141031284065460224,2019-06-18 17:13:52.000000,0.0,5.0,0,2019-07-12 12:24
1141032290836996096,2019-06-18 17:17:52.000000,2.0,0.0,0,2019-07-12 12:24
1141032625899024384,2019-06-18 17:19:12.000000,24.0,0.0,0,2019-07-12 12:24
1141036291150233600,2019-06-18 17:33:45.000000,0.0,1.0,0,2019-07-12 12:24
1141036847965057025,2019-06-18 17:35:58.000000,1.0,0.0,0,2019-07-12 12:24
1141038759011586048,2019-06-18 17:43:34.000000,3.0,12.0,0,2019-07-12 12:24
1141039681427128320,2019-06-18 17:47:14.000000,1.0,2.0,0,2019-07-12 12:24
1141041321228083203,2019-06-18 17:53:45.000000,3.0,0.0,0,2019-07-12 12:24
1141042099900411904,2019-06-18 17:56:50.000000,3.0,32.0,0,2019-07-12 12:24
1141042658342776840,2019-06-18 17:59:03.000000,1.0,0.0,0,2019-07-12 12:24
1141042886814945280,2019-06-18 17:59:58.000000,3.0,0.0,0,2019-07-12 12:24
1141044235958984704,2019-06-18 18:05:20.000000,2.0,4.0,0,2019-07-12 12:24
1141044425042341893,2019-06-18 18:06:05.000000,1.0,5.0,0,2019-07-12 12:24
1141045110806863884,2019-06-18 18:08:48.000000,2.0,0.0,0,2019-07-12 12:24
1141052408514142208,2019-06-18 18:37:48.000000,1.0,7.0,0,2019-07-12 12:24
1141053650459955200,2019-06-18 18:42:44.000000,,,1,2019-07-12 12:24
1141053810724335616,2019-06-18 18:43:22.000000,2.0,2.0,0,2019-07-12 12:24
1141055038296592384,2019-06-18 18:48:15.000000,3.0,0.0,0,2019-07-12 12:24
1141056220188631045,2019-06-18 18:52:57.000000,17.0,0.0,0,2019-07-12 12:24
1141056961779314689,2019-06-18 18:55:54.000000,3.0,0.0,0,2019-07-12 12:24
1141057540358152192,2019-06-18 18:58:12.000000,2.0,0.0,0,2019-07-12 12:24
1141058230002565123,2019-06-18 19:00:56.000000,17.0,0.0,0,2019-07-12 12:24
1141061803654430720,2019-06-18 19:15:08.000000,3.0,10.0,0,2019-07-12 12:24
1141061825385107461,2019-06-18 19:15:13.000000,2.0,3.0,0,2019-07-12 12:24
1141067848803995648,2019-06-18 19:39:09.000000,0.0,0.0,0,2019-07-12 12:24
1141069641009291264,2019-06-18 19:46:17.000000,1.0,5.0,0,2019-07-12 12:24
1141069951849127939,2019-06-18 19:47:31.000000,1.0,0.0,0,2019-07-12 12:24
1141071011842011136,2019-06-18 19:51:43.000000,1.0,0.0,0,2019-07-12 12:24
1141071868599738372,2019-06-18 19:55:08.000000,0.0,3.0,0,2019-07-12 12:24
1141072044131532800,2019-06-18 19:55:50.000000,0.0,0.0,0,2019-07-12 12:24
1141073348782448643,2019-06-18 20:01:01.000000,1.0,8.0,0,2019-07-12 12:24
1141073584951087104,2019-06-18 20:01:57.000000,4.0,0.0,0,2019-07-12 12:24
1141074781124648960,2019-06-18 20:06:42.000000,24.0,0.0,0,2019-07-12 12:24
1141074868701548545,2019-06-18 20:07:03.000000,3.0,0.0,0,2019-07-12 12:24
1141076092037599236,2019-06-18 20:11:55.000000,0.0,0.0,0,2019-07-12 12:24
1141080159203840000,2019-06-18 20:28:04.000000,,,1,2019-07-12 12:24
1141089783168544770,2019-06-18 21:06:19.000000,1.0,0.0,0,2019-07-12 12:24
1141090435554783232,2019-06-18 21:08:54.000000,0.0,4.0,0,2019-07-12 12:24
1141092062588231686,2019-06-18 21:15:22.000000,17.0,0.0,0,2019-07-12 12:24
1141095774958313475,2019-06-18 21:30:07.000000,2.0,2.0,0,2019-07-12 12:24
1141100726510338050,2019-06-18 21:49:48.000000,0.0,1.0,0,2019-07-12 12:24
1141103315306106880,2019-06-18 22:00:05.000000,0.0,0.0,0,2019-07-12 12:24
1141108312911560704,2019-06-18 22:19:57.000000,1.0,7.0,0,2019-07-12 12:24
1141110913908576258,2019-06-18 22:30:17.000000,0.0,2.0,0,2019-07-12 12:24
1141114748878118917,2019-06-18 22:45:31.000000,1.0,0.0,0,2019-07-12 12:24
1141115788167979010,2019-06-18 22:49:39.000000,1.0,1.0,0,2019-07-12 12:24
1141115896791912448,2019-06-18 22:50:05.000000,2.0,1.0,0,2019-07-12 12:24
1141119402902990849,2019-06-18 23:04:01.000000,0.0,3.0,0,2019-07-12 12:24
1141119662253461504,2019-06-18 23:05:03.000000,0.0,0.0,0,2019-07-12 12:24
1141119693790404608,2019-06-18 23:05:10.000000,0.0,0.0,0,2019-07-12 12:24
1141119751604670465,2019-06-18 23:05:24.000000,0.0,0.0,0,2019-07-12 12:24
1141119755211833344,2019-06-18 23:05:25.000000,0.0,0.0,0,2019-07-12 12:24
1141124727563382785,2019-06-18 23:25:10.000000,1.0,0.0,0,2019-07-12 12:24
1141125227558166529,2019-06-18 23:27:09.000000,2.0,0.0,0,2019-07-12 12:24
1141125405144862720,2019-06-18 23:27:52.000000,2.0,0.0,0,2019-07-12 12:24
1141125415140040705,2019-06-18 23:27:54.000000,1.0,0.0,0,2019-07-12 12:24
1141125449487212544,2019-06-18 23:28:02.000000,2.0,0.0,0,2019-07-12 12:24
1141125875167092741,2019-06-18 23:29:44.000000,3.0,0.0,0,2019-07-12 12:24
1141131296355299329,2019-06-18 23:51:16.000000,0.0,4.0,0,2019-07-12 12:24
1141133387266236421,2019-06-18 23:59:35.000000,,,1,2019-07-12 12:24
1141133492031328256,2019-06-19 00:00:00.000000,1.0,5.0,0,2019-07-12 12:24
1141138824770330624,2019-06-19 00:21:11.000000,0.0,10.0,0,2019-07-12 12:24
1141139352506052610,2019-06-19 00:23:17.000000,2.0,8.0,0,2019-07-12 12:24
1141140147448229888,2019-06-19 00:26:27.000000,2.0,0.0,0,2019-07-12 12:24
1141141703404994561,2019-06-19 00:32:38.000000,0.0,0.0,0,2019-07-12 12:24
